,Weight Room,Date,time,count
126,1.0,2015-10-11,06:30am ,
127,1.0,2015-10-12,06:30am ,96.0
128,1.0,2015-10-13,06:30am ,74.0
129,1.0,2015-10-14,06:30am ,65.0
130,1.0,2015-10-15,06:30am ,53.0
131,1.0,2015-10-16,06:30am ,34.0
132,1.0,2015-10-17,06:30am ,
133,1.0,2015-10-18,06:30am ,
134,1.0,2015-10-19,06:30am ,76.0
135,1.0,2015-10-20,06:30am ,63.0
136,1.0,2015-10-21,06:30am ,79.0
137,1.0,2015-10-22,06:30am ,58.0
138,1.0,2015-10-23,06:30am ,45.0
139,1.0,2015-10-24,06:30am ,
140,1.0,2015-10-25,06:30am ,
141,1.0,2015-10-26,06:30am ,83.0
142,1.0,2015-10-27,06:30am ,58.0
143,1.0,2015-10-28,06:30am ,46.0
144,1.0,2015-10-29,06:30am ,67.0
145,1.0,2015-10-30,06:30am ,40.0
146,1.0,2015-10-31,06:30am ,
147,1.0,2015-11-01,06:30am ,
148,1.0,2015-11-02,06:30am ,52.0
149,1.0,2015-11-03,06:30am ,58.0
150,1.0,2015-11-04,06:30am ,42.0
151,1.0,2015-11-05,06:30am ,55.0
152,1.0,2015-11-06,06:30am ,47.0
153,1.0,2015-11-07,06:30am ,
154,1.0,2015-11-08,06:30am ,
155,1.0,2015-11-09,06:30am ,56.0
156,1.0,2015-11-10,06:30am ,54.0
157,1.0,2015-11-11,06:30am ,21.0
158,1.0,2015-11-12,06:30am ,38.0
159,1.0,2015-11-13,06:30am ,32.0
160,1.0,2015-11-14,06:30am ,
161,1.0,2015-11-15,06:30am ,
162,1.0,2015-11-16,06:30am ,67.0
163,1.0,2015-11-17,06:30am ,58.0
164,1.0,2015-11-18,06:30am ,47.0
165,1.0,2015-11-19,06:30am ,42.0
166,1.0,2015-11-20,06:30am ,25.0
167,1.0,2015-11-21,06:30am ,
168,1.0,2015-11-22,06:30am ,
169,1.0,2015-11-23,06:30am ,82.0
170,1.0,2015-11-24,06:30am ,37.0
171,1.0,2015-11-25,06:30am ,24.0
172,1.0,2015-11-28,06:30am ,
173,1.0,2015-11-29,06:30am ,
174,1.0,2015-11-30,06:30am ,56.0
175,1.0,2015-12-01,06:30am ,55.0
176,1.0,2015-12-02,06:30am ,51.0
177,1.0,2015-12-03,06:30am ,35.0
178,1.0,2015-12-04,06:30am ,29.0
179,1.0,2015-12-05,06:30am ,
180,1.0,2015-12-06,06:30am ,
181,1.0,2015-12-07,06:30am ,52.0
182,1.0,2015-12-08,06:30am ,37.0
183,1.0,2015-12-09,06:30am ,36.0
184,1.0,2015-12-10,06:30am ,27.0
185,1.0,2015-12-11,06:30am ,43.0
186,1.0,2015-12-12,06:30am ,4.0
187,1.0,2015-12-13,06:30am ,3.0
188,1.0,2015-12-14,06:30am ,31.0
189,1.0,2015-12-15,06:30am ,27.0
190,1.0,2015-12-16,06:30am ,25.0
191,1.0,2015-12-17,06:30am ,21.0
192,1.0,2015-12-18,06:30am ,15.0
193,1.0,2015-12-19,06:30am ,
